work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_experience_ratio
2024,0.5594128975138931,2,2,0.952890598229444,USD,202730,82,0.0,71,1,0.5870693850409819
2024,0.5594128975138931,2,2,-0.8942345296018268,USD,92118,82,0.0,71,1,-0.6255773837798249
2024,0.5594128975138931,2,56,-0.25328818873085585,USD,130500,82,0.0,71,1,-2.208602384173253
2024,0.5594128975138931,2,56,-0.8294084732404827,USD,96000,82,0.0,71,1,-0.6744721275010344
2024,0.5594128975138931,2,118,0.7403105628147325,USD,190000,82,0.0,71,1,0.7556462457957523
2024,0.5594128975138931,2,118,0.2393364023715787,USD,160000,82,0.0,71,1,2.3373498221360567
2024,-0.9240163240835538,2,114,-1.347081772365075,USD,65000,82,0.0,71,1,0.6859392971083381
2024,-2.407445545681001,2,45,-0.7372292277189424,USD,101520,82,0.0,71,1,3.265531879589022
2024,-2.407445545681001,2,45,-1.6666364901730812,USD,45864,82,0.0,71,1,1.4444934812575634
2024,0.5594128975138931,2,56,0.44755796259043484,USD,172469,82,0.0,71,1,1.2499227905052779
2024,0.5594128975138931,2,56,-0.5130432909206311,USD,114945,82,0.0,71,1,-1.0903814695833056
2024,2.04284211911134,2,133,0.907301949629117,USD,200000,82,0.0,71,1,2.251557069778594
2024,2.04284211911134,2,133,0.0723450155571941,USD,150000,82,0.0,71,1,28.23749643811082
2024,-0.9240163240835538,2,88,0.18005446005247217,USD,156450,82,100.0,71,1,-5.131871345004581
2024,-0.9240163240835538,2,88,-0.44198845583111046,USD,119200,82,100.0,71,1,2.090589271943864
2024,0.5594128975138931,2,45,0.4063277891859633,USD,170000,82,0.0,71,1,1.3767527410188223
2024,0.5594128975138931,2,45,-0.2616377580715751,USD,130000,82,0.0,71,1,-2.13811990148936
2024,0.5594128975138931,2,16,1.278022828357051,USD,222200,82,0.0,71,0,0.4377174531639944
2024,0.5594128975138931,2,16,-0.16144292598294432,USD,136000,82,0.0,71,0,-3.4650815085759312
2024,-0.9240163240835538,2,65,-0.295036035434452,USD,128000,82,0.0,71,1,3.1318761544599254
2024,-0.9240163240835538,2,65,-1.0715459841213404,USD,81500,82,0.0,71,1,0.8623207382380703
2024,0.5594128975138931,2,53,-0.8655120110697526,USD,93838,82,0.0,71,1,-0.6463375324190728
2024,0.5594128975138931,2,53,-1.2713511784447515,USD,69535,82,0.0,71,1,-0.4400144562718107
2024,-2.407445545681001,2,45,-1.1800903855506903,USD,75000,82,0.0,71,1,2.0400518258248193
